==PROF== Connected to process 2302446 (/home/duo.an/workspaces/playground-cuda/build/08_flash_attention_v1)
==PROF== Disconnected from process 2302446
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","dram__bytes.sum.pct_of_peak_sustained_elapsed","%","0.05"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","gpu__time_duration.sum","ns","17,696"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_ld.sum","","0"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","l1tex__data_bank_conflicts_pipe_lsu_mem_shared_op_st.sum","","0"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__block_size","","32"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__grid_size","","1"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__registers_per_thread","register/thread","40"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","launch__shared_mem_per_block_static","byte/block","0"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed","%","0.00"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_elapsed","%","0.01"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_thread_inst_executed_pred_on_per_inst_executed.ratio","","3.83"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","4.44"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","1,504"
"0","2302446","08_flash_attention_v1","127.0.0.1","<unnamed>::flash_attention_v1_kernel(const float *, const float *, const float *, float *, int, int, int)","1","7","(32, 1, 1)","(1, 1, 1)","0","8.0","Command line profiler metrics","smsp__thread_inst_executed_per_inst_executed.ratio","","4.07"
